YBR122C YKR006C
YCR020W-B YMR033W
YDL148C YDR324C
YLR147C YOR308C
YDR155C YIL112W
YIL097W YMR135C
YBR055C YIR009W
YCR081W YOL135C
YDL136W YOL040C
YKL180W YNL301C
YKL074C YLR116W
YBL072C YLR406C
YCR031C YGL076C
YER148W YGR252W
YDR012W YOR206W
YDL116W YKL057C
YGL070C YOR207C
YLR287C-A YML063W
YBR031W YLL045C
YJR063W YPR187W
YGL129C YGR165W
YDR471W YPL198W
YDR382W YMR194W
YGL103W YOL039W
YOL005C YPR187W
YCR052W YIL126W
YBR152W YJR022W
YGL135W YPL090C
YGL237C YOR358W
YHR086W YIR009W
YBR048W YLR406C
YBR119W YML049C
YBR031W YMR242C
YJR050W YLL036C
YGL031C YGL076C
YGR027C YLR406C
YBL074C YDR378C
YGR074W YNL147W
YBL027W YGL135W
YBR031W YNL069C
YOL039W YPL131W
YDR471W YFR031C-A
YBR191W YPL198W
YBR146W YHL004W
YFR037C YPR034W
YJR123W YLR029C
YCR092C YDR097C
YGR252W YML015C
YCR052W YFR037C
YCR035C YHR081W
YLR015W YPL138C
YGL076C YLR448W
YBR087W YJR068W
YDR392W YPL047W
YGR075C YPR178W
YJL063C YOR150W
YDL136W YLR325C
YER112W YIR009W
YCR031C YLR029C
YCL010C YMR227C
YIL133C YOL040C
YGR186W YML010W
YJL011C YKL144C
YBR279W YGL207W
YLR147C YPL213W
YDR045C YNL151C
YLR192C YOR361C
YER102W YMR194W
YKL012W YMR240C
YDR450W YJR123W
YCR071C YDR405W
YIL061C YPR082C
YGR002C YNL136W
YGL147C YOR312C
YJL190C YPL198W
YGL031C YLR029C
YML049C YNL147W
YDR473C YIL061C
YCR095C YNL032W
YBR253W YHR041C
YGL151W YOL051W
YBR191W YDR418W
YJR145C YOL120C
YDR449C YLR129W
YGL120C YKL173W
YKL180W YLR406C
YDL082W YNL096C
YLR406C YOL039W
YML073C YPL143W
YER050C YGR215W
YGL048C YHL030W
YCR081W YOL051W
YNR003C YPR187W
YCR031C YKL180W
YDR240C YLR424W
YIL133C YLR325C
YFL024C YNL107W
YDR235W YER172C
YBL026W YML046W
YDR175C YNL137C
YOR362C YPR103W
YPL143W YPL198W
YLR147C YMR288W
YBL026W YDL087C
YER133W YOR179C
YDL082W YGL030W
YBR055C YNL147W
YGR200C YLR384C
YKR085C YML025C
YBL027W YFR032C-A
YCR071C YMR193W
YJR068W YNL290W
YLR222C YMR093W
YDR471W YLR448W
YOL004W YPL181W
YBL072C YHR141C
YBR279W YLR418C
YGL147C YPL090C
YMR309C YOR361C
YKL059C YLR115W
YBL026W YBR152W
YIL018W YLR441C
YBL072C YOL127W
YBL074C YJL203W
YBL038W YJL063C
YBR031W YJL190C
YFR032C-A YOR312C
YHR086W YNL147W
YBR189W YGL031C
YBR048W YHR141C
YGR027C YHR141C
YKR002W YMR061W
YCL017C YER048W-A
YCR031C YIL133C
YMR242C YOL039W
YKL003C YOR158W
YHL001W YPL131W
YBR031W YBR181C
YLR441C YOR206W
YCR035C YOL021C
YBR048W YOL127W
YDR156W YGR005C
YDR450W YGL103W
YGR027C YOL127W
YDR064W YGL135W
YDR064W YHL001W
YDR167W YPL047W
YLL045C YLR448W
YHR041C YPR168W
YHR041C YPL042C
YML063W YOL127W
YDR155C YKR029C
YHR010W YPL198W
YDR012W YGL147C
YHR196W YLR129W
YNL252C YOR150W
YDR240C YLR275W
YER112W YNL147W
YMR188C YPL013C
YBR079C YMR309C
YGL103W YOR063W
YFR031C YLR272C
YHR165C YKL173W
YNL081C YPL118W
YBL092W YOL039W
YGR215W YNL306W
YFR010W YMR314W
YER029C YJR022W
YBR191W YPL249C-A
YJR123W YMR194W
YDL030W YPR101W
YOR063W YOR206W
YCR081W YGL025C
YBR254C YDR472W
YGL135W YMR142C
YDR041W YIL093C
YBL074C YMR240C
YGR034W YHL001W
YJR113C YNR037C
YFR032C-A YPL090C
YOR141C YPR023C
YDL098C YIL061C
YDR190C YNL136W
YDR418W YGL031C
YDR447C YOR312C
YCR057C YGR090W
YNL113W YOR151C
YBR122C YDR462W
YDR392W YHR099W
